loan_amnt,term,int_rate,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,initial_list_status,application_type,avg_cur_bal,pub_rec_bankruptcies
4500.0,1,0.12789999999999999,11,,1,56000.0,1,GOOD,3,22.48,0.0,1,12,1,1821,0.05,1,1,10753.0,1.0
30000.0,1,0.1099,9,2,2,80000.0,1,GOOD,3,22.58,1.0,0,11,0,33433,0.6970000000000001,1,1,3621.0,0.0
25000.0,2,0.1449,14,10,1,100000.0,2,GOOD,3,18.59,0.0,0,13,0,16315,0.456,1,1,16532.0,0.0
2600.0,1,0.08990000000000001,6,3,2,35000.0,1,GOOD,8,6.73,0.0,0,14,0,720,0.013999999999999999,1,1,1393.0,0.0
12000.0,2,0.18989999999999999,18,8,1,60000.0,2,GOOD,6,17.74,2.0,3,19,0,7935,0.36700000000000005,1,1,14339.0,0.0
10000.0,1,0.0759,3,10,3,185000.0,1,GOOD,4,26.15,0.0,0,24,0,171447,0.19699999999999998,2,1,43569.0,0.0
35000.0,2,0.1559,15,1,1,220000.0,1,GOOD,4,9.62,0.0,1,11,0,33719,0.282,1,1,52071.0,0.0
20000.0,1,0.08990000000000001,6,,1,76332.0,2,GOOD,3,12.72,0.0,1,22,0,21600,0.225,2,1,16103.0,0.0
1200.0,1,0.0699,2,3,1,225000.0,1,GOOD,6,0.66,0.0,0,13,0,5543,0.027999999999999997,2,1,42657.0,0.0
8400.0,1,0.0859,5,10,1,75000.0,2,GOOD,6,9.02,0.0,1,8,0,6540,0.256,2,1,28112.0,0.0
4000.0,1,0.1099,9,9,1,60000.0,1,GOOD,3,23.5,1.0,0,15,1,26838,0.618,2,1,4206.0,0.0
19125.0,2,0.23989999999999997,22,3,3,55000.0,1,GOOD,3,15.78,0.0,0,7,0,5200,0.271,2,1,4109.0,0.0
12000.0,1,0.12789999999999999,11,3,2,77000.0,1,GOOD,6,20.57,0.0,2,14,0,2644,0.07400000000000001,1,1,3394.0,0.0
3000.0,1,0.1349,12,5,2,42000.0,2,GOOD,3,11.2,0.0,2,8,0,3330,0.33,2,1,2553.0,0.0
9600.0,1,0.1349,12,10,1,69000.0,1,GOOD,3,29.6,1.0,1,22,0,7398,0.139,1,1,17287.0,0.0
12000.0,1,0.0799,4,7,2,175000.0,1,GOOD,2,6.78,0.0,0,17,0,18354,0.271,2,1,2728.0,0.0
20000.0,1,0.1099,9,10,1,103000.0,2,GOOD,3,13.48,0.0,1,7,1,13597,0.521,1,1,48913.0,0.0
20000.0,1,0.1099,9,10,1,130000.0,1,GOOD,2,10.83,2.0,2,13,0,15997,0.465,1,1,27162.0,0.0
4800.0,1,0.1559,15,8,3,47200.0,1,GOOD,12,15.38,0.0,1,6,0,4950,0.311,1,1,4418.0,0.0
2000.0,1,0.1349,12,1,1,80000.0,1,GOOD,7,15.33,0.0,1,8,0,7820,0.7240000000000001,1,1,41786.0,0.0
2000.0,1,0.18989999999999999,18,5,2,34000.0,1,GOOD,2,8.82,1.0,0,4,0,5881,0.511,1,1,2291.0,0.0
1800.0,1,0.1449,14,5,1,56000.0,1,GOOD,12,19.97,0.0,0,6,0,6509,0.632,1,1,32303.0,0.0
22800.0,2,0.1449,14,3,3,70000.0,1,GOOD,3,6.89,0.0,0,6,0,18496,0.963,1,1,30268.0,0.0
20000.0,2,0.1399,13,10,1,97000.0,1,GOOD,4,8.41,0.0,0,9,1,10492,0.502,1,1,2039.0,1.0
16000.0,2,0.1399,13,9,1,75000.0,2,GOOD,2,21.99,0.0,0,13,0,22883,0.425,1,1,12916.0,0.0
3000.0,1,0.1699,16,10,1,70000.0,1,GOOD,12,27.88,1.0,0,12,0,25308,0.973,1,1,27934.0,0.0
6000.0,1,0.1349,12,3,1,78000.0,1,BAD,7,20.18,1.0,2,16,1,8151,0.318,1,1,6793.0,1.0
15000.0,2,0.1349,12,1,1,75000.0,2,BAD,3,27.07,0.0,3,12,0,18312,0.433,1,1,35780.0,0.0
30000.0,1,0.17989999999999998,17,3,1,80000.0,1,BAD,3,26.92,0.0,0,22,0,13886,0.637,1,1,14012.0,0.0
