loan_amnt,term,int_rate,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,initial_list_status,application_type,avg_cur_bal,pub_rec_bankruptcies
18725,1,0.1899,18,4,1,140000,1,BAD,3,25.67,3,0,10,0,25077,0.591,1,1,30322,0
10000,1,0.1149,10,7,2,54000,1,BAD,3,19.62,0,1,4,0,279,0.349,1,1,2226,0
3200,1,0.0859,5,8,1,45000,2,GOOD,3,30.53,0,0,12,0,13258,0.261,2,1,16136,0
25000,1,0.1279,11,9,1,110000,2,GOOD,3,11.97,0,0,6,0,17781,0.6,1,1,88704,0
17100,2,0.2239,21,1,2,47000,1,BAD,3,25.46,0,1,9,0,18473,0.633,2,1,10368,0
9000,1,0.1279,11,3,1,157000,1,GOOD,5,13.83,1,0,7,0,7857,0.748,2,1,41587,0
5000,1,0.1349,12,6,1,60000,1,BAD,4,34.14,0,0,14,0,28797,0.623,2,1,3827,0
16000,2,0.2239,21,1,2,50000,1,BAD,3,24.44,0,0,11,0,9867,0.609,2,1,5019,0
1475,1,0.1449,14,3,1,40000,1,GOOD,6,11.64,0,1,16,0,5581,0.143,1,1,17020,0
11500,1,0.0859,5,0.5,1,135000,1,GOOD,1,10.43,0,0,9,0,25529,0.637,2,1,22365,0
2000,1,0.0949,7,10,1,98000,1,GOOD,12,5.22,0,0,11,0,3321,0.061,1,1,20568,0
35000,2,0.2569,26,3,2,140000,1,GOOD,3,15.11,1,3,11,2,19562,0.505,2,1,6804,2
11000,1,0.1279,11,10,2,59000,1,GOOD,3,23.8,0,0,13,0,24757,0.848,1,1,5828,0
10000,1,0.0949,7,5,2,95000,2,BAD,2,20.04,0,0,7,1,22372,0.785,2,1,7752,0
11850,1,0.1799,17,10,2,49000,1,BAD,3,16.75,0,2,12,1,1711,0.267,2,1,3753,1
6025,1,0.1559,15,2,1,50000,1,GOOD,3,32.26,0,2,13,0,8070,0.13,1,1,6810,0
12000,1,0.2239,21,2,2,33600,2,GOOD,3,31.43,0,4,28,0,12734,0.215,2,1,1022,0
27600,1,0.1559,15,4,1,175000,1,BAD,2,28.72,2,3,17,0,16523,0.486,2,1,36440,0
15200,1,0.1449,14,10,3,40000,2,GOOD,3,27.63,1,0,7,0,1920,0.209,2,1,2002,0
24000,2,0.1799,17,10,1,110000,1,BAD,4,30.46,0,1,10,0,13023,0.862,1,1,41556,0
8000,1,0.1149,10,10,1,50000,1,BAD,2,24,0,0,15,1,14670,0.67,1,1,4035,1
1000,1,0.1559,15,9,2,75000,1,BAD,2,26.58,0,1,10,0,8098,0.435,1,1,5790,0
10000,1,0.1279,11,7,2,90000,1,BAD,3,9.6,0,2,20,0,13324,0.531,1,1,2331,0
30000,2,0.1399,13,10,2,132456,1,BAD,12,3.75,1,0,5,0,6934,0.217,1,1,3387,0
27350,1,0.1399,13,0.5,3,160000,1,GOOD,2,22.91,0,0,16,0,15139,0.292,1,1,5435,0
10000,1,0.1399,13,5,1,95400,1,BAD,2,33.65,0,1,16,1,24303,0.739,1,1,23992,1
15000,1,0.1147,10,3,1,62000,1,GOOD,5,7.8,0,0,8,0,377,0.014,1,1,507,0
15000,1,0.1799,17,10,1,85000,1,GOOD,3,20.9,0,0,8,1,14505,0.848,2,1,4332,1
16000,1,0.1699,16,5,1,300000,1,GOOD,3,15.9,1,0,10,0,40748,0.82,1,1,76229,0
12000,2,0.1449,14,2,3,55000,1,GOOD,3,12.52,0,0,15,1,4160,0.201,1,1,10908,1
10000,1,0.1279,11,2,2,80000,1,GOOD,11,14.34,0,1,12,0,4235,0.28,2,1,5772,0
16800,2,0.1559,15,10,2,78277,1,BAD,3,27.33,0,1,18,1,6848,0.2,1,1,3416,1
20400,1,0.1149,10,10,3,70000,1,GOOD,3,8.07,0,0,12,0,1251,0.051,1,1,5514,0
16000,1,0.0759,3,10,1,90000,2,GOOD,2,13.19,0,0,6,0,12293,0.382,1,1,47239,0
4800,1,0.2399,22,10,2,40000,1,GOOD,12,23.91,0,0,9,1,3003,0.286,2,1,2514,1
13000,1,0.0859,5,7,3,150000,2,GOOD,3,18.44,0,0,11,0,17628,0.334,2,1,40152,0
18000,2,0.1999,19,8,2,78000,1,GOOD,3,20.52,0,2,15,0,20605,0.763,1,1,4263,0
5000,1,0.1099,9,10,3,52000,1,GOOD,12,0.92,1,1,5,0,554,0.044,2,1,111,0
9000,1,0.1279,11,2,1,47000,1,GOOD,3,22.37,0,2,6,1,2162,0.416,2,1,22869,1
8500,1,0.1559,15,3,3,65000,2,GOOD,2,13.02,0,3,16,0,5125,0.206,2,1,439,0
13000,2,0.2239,21,3,2,43355,1,GOOD,3,20.4,0,0,9,0,3775,0.367,1,1,3322,0
12000,1,0.1399,13,10,1,56000,1,GOOD,3,16.74,0,1,7,0,17676,0.775,2,1,27402,0
22800,2,0.1899,18,5,1,225000,1,BAD,3,12.26,2,0,13,2,11654,0.667,2,1,29970,0
15000,1,0.1279,11,10,1,60000,1,BAD,4,21.38,2,0,14,0,3785,0.377,2,1,5725,0
20000,2,0.1399,13,10,1,140000,1,GOOD,2,8.23,0,0,8,0,21167,0.706,1,1,3761,0
8000,1,0.1399,13,10,2,95000,1,BAD,12,17.07,1,0,14,0,13436,0.85,2,1,10524,0
24275,1,0.1449,14,6,1,176800,1,GOOD,3,25.67,0,0,20,0,41941,0.61,2,1,40532,0
6000,1,0.0699,2,8,1,65000,1,GOOD,4,0.74,0,1,4,0,178,0.007,1,1,29548,0
6000,1,0.1049,8,0.5,2,35000,1,GOOD,3,17.83,0,0,4,0,6784,0.575,2,1,6362,0
7000,1,0.1149,10,7,2,36000,1,GOOD,2,12.9,0,0,11,0,7879,0.136,1,1,1155,0
24000,2,0.1559,15,9,3,110000,2,GOOD,12,13.7,0,0,13,0,13351,0.306,1,1,10819,0
10000,1,0.1149,10,2,2,86300,1,GOOD,3,19.55,0,0,21,0,14222,0.275,1,1,6558,0
5000,1,0.1279,11,2,1,85000,2,GOOD,3,34.56,1,0,12,0,87415,0.772,1,1,24625,0
24000,1,0.1149,10,10,1,67000,1,BAD,3,23.03,0,0,12,1,19623,0.538,1,1,17962,1
16800,1,0.0532,1,1,2,150000,1,GOOD,12,7.69,0,2,11,0,4762,0.141,1,1,4160,0
1925,1,0.2749,29,2,2,47000,1,BAD,3,20.35,1,2,8,0,2264,0.612,2,1,4456,0
4825,1,0.1999,19,2,2,154000,1,BAD,6,1.57,0,2,19,2,39,0.001,1,1,4040,0
30000,2,0.2649,27,3,1,205000,1,GOOD,4,19.81,0,1,11,0,1393,0.034,2,1,55773,0
21000,1,0.1099,9,10,3,215000,1,GOOD,2,22.03,2,0,24,0,76645,0.527,1,1,16750,0
20000,2,0.1449,14,7,1,64000,1,GOOD,3,26.57,2,3,11,0,7673,0.645,1,1,18995,0
5000,1,0.0759,3,5,1,85000,2,GOOD,3,27.05,0,0,23,0,13942,0.202,2,1,22731,0
8000,1,0.1149,10,10,1,70000,1,BAD,3,20.81,2,1,7,1,3613,0.266,1,1,17084,0
16000,2,0.1699,16,10,3,48000,1,GOOD,3,31.78,0,3,29,0,32742,0.476,2,1,4350,0
18000,1,0.0759,3,10,2,64000,2,BAD,2,22.78,0,0,6,0,15594,0.91,1,1,13040,0
40000,1,0.1699,16,3,1,125000,1,GOOD,3,23.31,0,1,15,0,53703,0.691,2,1,19182,0
9000,1,0.1349,12,7,2,68500,1,GOOD,3,18.57,0,1,7,0,14681,0.469,1,1,7738,0
7500,1,0.1449,14,10,2,55000,1,GOOD,3,14.23,0,0,5,0,3838,0.753,2,1,4010,0
9500,1,0.1899,18,10,3,28000,1,BAD,3,28.08,2,1,6,0,4598,0.438,1,1,7576,0
12000,2,0.2749,29,3,2,42000,1,BAD,3,3.97,0,1,8,0,4948,0.406,2,1,3664,0
10000,1,0.1049,8,10,1,167000,1,GOOD,3,24.31,1,3,19,0,63332,0.789,1,1,45137,0
5000,1,0.0759,3,10,3,90000,2,GOOD,3,17.28,2,0,16,0,16635,0.54,2,1,32709,0
30000,1,0.1449,14,10,2,76000,1,BAD,3,25.83,1,2,7,1,6795,0.382,2,1,3452,1
12000,1,0.0949,7,2,1,165000,1,GOOD,2,1.41,1,2,8,0,5171,0.375,1,1,80620,0
8000,1,0.1149,10,9,2,65000,1,GOOD,12,14.77,1,1,12,0,14358,0.384,1,1,3055,0
35000,1,0.2449,23,3,2,89000,1,GOOD,12,0.88,0,0,3,0,2101,0.356,2,1,700,0
28000,2,0.2779,30,2,2,95500,1,BAD,3,31.62,0,2,7,0,38691,0.319,2,1,13628,0
21600,2,0.1279,11,3,1,111500,2,GOOD,3,14.11,0,1,20,0,11717,0.228,1,1,15717,0
10800,2,0.1349,12,10,1,139050,1,GOOD,2,15.1,2,0,19,0,16613,0.467,1,1,23308,0
10000,1,0.2399,22,10,1,61014,1,BAD,3,31.83,0,1,18,0,22260,0.707,2,1,12877,0
5000,1,0.1099,9,7,2,66000,1,GOOD,3,9.64,0,0,10,1,4287,0.466,2,1,8302,0
10000,1,0.1299,12,0.5,1,46800,1,BAD,3,31.79,0,0,10,1,6139,0.407,2,1,3669,1
15000,1,0.1449,14,2,2,74000,1,BAD,4,17.4,0,0,11,0,3268,0.419,2,1,4014,0
35000,2,0.2449,23,10,3,74061,1,BAD,3,23.93,1,1,18,0,13244,0.292,2,1,7859,0
10000,1,0.1559,15,3,2,125000,1,BAD,3,25.58,0,1,7,0,12065,0.965,1,1,10307,0
21000,1,0.1399,13,1,1,75000,1,GOOD,3,13.36,0,2,9,0,5777,0.561,2,1,22673,0
12200,1,0.1999,19,1,1,70000,1,BAD,3,33.95,0,1,22,0,45445,0.547,1,1,27814,0
7200,1,0.1449,14,10,1,74500,1,BAD,9,8.99,0,1,9,1,966,0.065,1,1,28488,1
