loan_amnt,term,int_rate,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,initial_list_status,application_type,avg_cur_bal,pub_rec_bankruptcies
10000,1,0.1799,17,0.5,2,41556,1,GOOD,3,32.57,0,3,14,1,6191,0.405,2,1,3670,1
8000,1,0.1449,14,10,1,75000,1,GOOD,1,22.69,1,1,26,0,22472,0.316,2,1,6034,0
30000,2,0.2449,23,2,2,323000,1,GOOD,6,3.78,0,3,16,0,14615,0.369,2,1,5264,0
18000,2,0.1349,12,10,1,70000,2,BAD,2,25.51,0,0,6,0,29365,0.96,1,1,32404,0
21000,1,0.1629,16,5,1,120000,1,GOOD,9,17.26,0,1,26,0,44978,0.462,1,1,20045,0
14400,2,0.1449,14,5,1,75000,1,GOOD,3,15.81,0,0,11,0,11133,0.414,1,1,20598,0
10000,2,0.2649,27,5,2,32000,1,BAD,12,18.15,0,2,3,0,2832,0.27,2,1,3202,0
2500,1,0.1399,13,5,2,24000,1,GOOD,3,34.1,0,0,10,0,2953,0.183,1,1,3561,0
35000,2,0.2569,26,0.5,1,135000,1,GOOD,3,30.91,1,0,19,0,86831,0.886,2,1,18180,0
26400,1,0.1699,16,6,2,80340,1,GOOD,3,13.58,0,1,12,0,10316,0.267,2,1,2392,0
25975,1,0.1399,13,0,1,51998,1,BAD,2,29.96,0,0,12,0,25143,0.571,1,1,10191,0
2900,1,0.1279,11,8,2,65000,1,GOOD,2,22.91,0,1,22,1,5509,0.32,2,1,8000,1
6000,1,0.1349,12,10,1,110000,1,GOOD,12,29.74,0,2,18,0,18699,0.739,1,1,12619,0
5000,1,0.1559,15,1,2,27000,1,GOOD,3,25.78,1,0,8,1,4623,0.416,2,1,3505,1
25250,1,0.2239,21,8,1,115000,1,BAD,3,31.03,1,3,12,2,10250,0.518,2,1,16868,0
12000,2,0.1449,14,10,1,110000,1,GOOD,3,13.19,0,0,18,0,27206,0.603,1,1,45205,0
12600,1,0.1449,14,7,2,63000,1,GOOD,3,21.22,0,1,11,0,12256,0.281,2,1,3335,0
14400,1,0.1399,13,4,1,50000,1,BAD,3,11.19,0,1,10,0,14057,0.273,2,1,16330,0
3050,1,0.1699,16,10,1,40000,1,GOOD,3,24,0,0,7,0,18763,0.873,2,1,19038,0
14500,2,0.2499,24,6,3,70000,1,BAD,7,13.17,0,0,16,0,13521,0.244,2,1,4493,0
15175,1,0.1559,15,9,1,115000,2,GOOD,6,10.52,0,1,6,0,1539,0.101,2,1,5850,0
10000,1,0.1449,14,3,1,40000,1,GOOD,3,14.68,0,3,16,0,14954,0.45,1,1,11119,0
8000,1,0.1279,11,8,2,92000,1,BAD,8,8.57,0,3,8,0,899,0.086,2,1,19472,0
10850,2,0.2749,29,2,2,30000,1,BAD,6,11.56,1,2,16,0,2325,0.135,2,1,811,0
24000,1,0.1399,13,10,1,120000,1,GOOD,3,17.17,0,0,13,0,20179,0.791,1,1,22500,0
24000,1,0.1279,11,10,1,117000,2,GOOD,3,20.39,2,3,19,0,60376,0.881,2,1,17331,0
35000,1,0.2499,24,1,2,100000,1,BAD,10,12.02,4,0,12,0,4042,0.361,2,1,3569,0
8000,1,0.1349,12,10,1,51000,1,GOOD,2,23.61,0,0,10,0,19162,0.534,1,1,19675,0
35000,2,0.2649,27,10,3,175000,1,BAD,3,20.1,1,0,20,1,15630,0.493,2,1,15476,0
7200,1,0.1399,13,2,1,56000,1,GOOD,2,29.04,2,1,13,0,8321,0.724,2,1,6612,0
6150,1,0.2239,21,0,2,20500,1,BAD,3,9.84,1,1,7,0,848,0.099,2,1,386,0
5000,1,0.1799,17,8,2,55000,1,GOOD,10,6.15,0,0,6,0,4053,0.305,2,1,911,0
3500,1,0.2399,22,6,3,47000,1,GOOD,3,25.72,0,3,10,0,421,0.046,2,1,4766,0
3600,1,0.1349,12,10,1,98150,1,GOOD,3,7.58,0,0,5,1,83,0.014,2,1,55034,1
5250,1,0.1399,13,0,3,33600,1,GOOD,4,2,0,0,4,1,383,0.128,2,1,96,0
10000,1,0.1099,9,0,3,41484,2,GOOD,12,5.32,0,2,12,1,5642,0.058,2,1,470,1
24000,2,0.1449,14,10,1,95000,1,GOOD,3,17.39,0,1,16,0,13736,0.898,1,1,25918,0
6050,1,0.1449,14,10,1,50000,1,GOOD,3,19.35,1,0,7,0,3617,0.502,2,1,35836,0
2700,1,0.1399,13,0,2,20160,2,GOOD,3,15.12,1,0,19,0,3406,0.324,1,1,2370,0
19000,1,0.1279,11,3,2,145000,1,GOOD,3,8.53,2,0,7,0,2212,0.108,1,1,4389,0
7200,1,0.2569,26,2,2,64120,1,BAD,3,24.53,0,1,9,0,762,0.218,2,1,8156,0
9500,1,0.2499,24,10,2,28000,1,GOOD,3,19.85,0,1,5,0,4345,0.987,2,1,3550,0
2000,1,0.2449,23,10,2,45000,2,BAD,7,30.86,0,0,10,0,13215,0.965,2,1,3785,0
28000,1,0.1349,12,10,1,77000,1,GOOD,2,18.64,0,0,15,0,29277,0.859,1,1,15891,0
22175,2,0.2449,23,10,2,46214.4,1,BAD,3,26.8,0,1,19,1,24943,0.439,1,1,6953,1
35000,1,0.1399,13,10,3,118000,1,GOOD,3,17.06,0,0,11,0,25267,0.289,1,1,39552,0
5000,1,0.1399,13,10,3,125000,1,GOOD,12,11.88,1,1,19,0,20743,0.612,1,1,17744,0
1400,1,0.1559,15,10,2,38700,1,BAD,12,1.77,2,1,4,0,492,0.176,1,1,246,0
25000,1,0.0759,3,10,1,100000,1,GOOD,3,21.04,0,0,14,0,24067,0.362,2,1,37013,0
20000,2,0.1399,13,10,1,110000,2,GOOD,3,16.65,0,0,10,0,14454,0.821,1,1,24236,0
16000,1,0.1399,13,10,2,63000,1,GOOD,3,19.14,0,0,14,0,7762,0.415,1,1,1557,0
15000,2,0.1399,13,10,1,40000,1,GOOD,3,28.49,0,1,19,0,15118,0.275,1,1,4135,0
24200,1,0.2529,25,2,2,100000,1,BAD,3,30.61,2,3,14,0,9969,0.371,2,1,6287,0
4800,1,0.1399,13,2,3,73000,1,GOOD,12,12.74,2,0,9,0,6365,0.699,1,1,16831,0
16800,1,0.1349,12,2,1,93000,1,GOOD,3,18.74,0,1,16,2,10748,0.644,1,1,12551,2
2000,1,0.2399,22,10,1,55000,1,GOOD,3,28.87,0,3,10,0,5471,0.344,2,1,15555,0
9600,1,0.1349,12,2,2,75000,1,GOOD,3,34.24,0,0,11,0,1972,0.183,1,1,12585,0
7000,1,0.1449,14,6,2,88605,1,GOOD,8,25.99,1,1,9,0,2452,0.57,1,1,19903,0
10500,1,0.1149,10,1,1,130000,1,GOOD,3,15,0,0,14,0,5414,0.116,2,1,76182,0
1000,1,0.1559,15,10,1,80000,1,GOOD,7,21.56,1,1,11,0,8014,0.294,1,1,18285,0
6000,1,0.1449,14,1,3,25000,1,GOOD,12,20.45,0,0,6,0,661,0.132,1,1,2619,0
12000,2,0.1449,14,4,2,134000,2,BAD,4,17.96,0,0,9,0,23986,0.691,1,1,6463,0
10000,1,0.1099,9,5,2,99000,1,GOOD,3,11.82,0,0,5,0,8384,0.762,2,1,6294,0
10000,2,0.1449,14,7,1,116000,2,GOOD,3,7.03,0,1,7,0,7701,0.389,1,1,6198,0
19000,2,0.1559,15,10,3,68500,1,GOOD,3,16.75,0,0,9,0,27945,0.944,1,1,27119,0
10000,1,0.1149,10,10,1,70000,1,GOOD,3,13.79,1,1,25,1,7363,0.246,2,1,7231,0
17100,2,0.2239,21,2,2,45000,1,GOOD,3,23.28,0,0,7,1,5649,0.715,2,1,5337,1
5000,1,0.1149,10,3,1,60000,1,GOOD,12,16.18,0,0,11,0,5951,0.249,2,1,10861,0
24000,2,0.2529,25,10,2,91000,1,GOOD,3,19.95,0,0,12,1,17550,0.719,1,1,4196,1
6000,1,0.0799,4,3,1,70000,1,GOOD,3,11.62,0,0,5,0,10641,0.566,2,1,20790,0
30000,2,0.1559,15,1,1,120000,1,BAD,3,15.19,0,1,6,0,20591,0.542,1,1,47513,0
15600,2,0.1559,15,5,1,65000,1,BAD,4,10.19,3,1,10,0,3966,0.191,1,1,23872,0
40000,1,0.1399,13,7,3,103000,1,GOOD,4,16.43,0,2,17,0,2049,0.033,2,1,13979,0
20000,1,0.1449,14,10,3,309600,1,BAD,4,7.92,0,1,5,0,77892,0.966,2,1,97510,0
19750,2,0.1449,14,10,1,50000,1,GOOD,3,33.58,0,0,17,0,23716,0.328,1,1,12430,0
28000,2,0.2149,20,8,1,65000,1,GOOD,6,26.72,0,0,19,0,11084,0.557,1,1,21213,0
2400,1,0.1279,11,10,1,170000,2,GOOD,12,10.36,0,0,4,0,90419,0,2,1,163017,0
25000,1,0.1559,15,6,3,150000,1,BAD,3,30.13,0,0,16,0,20572,0.411,1,1,16258,0
9000,1,0.1099,9,10,1,69500,1,GOOD,4,15.01,0,2,12,1,9705,0.503,2,1,27038,1
12600,2,0.1399,13,3,3,72000,1,GOOD,3,9.15,0,3,16,0,14883,0.276,1,1,10656,0
13000,1,0.1449,14,0.5,2,45000,1,BAD,3,31.84,0,2,5,0,986,0.657,2,1,8540,0
7000,1,0.1049,8,2,2,62000,2,GOOD,3,11.23,0,1,4,1,4927,0.547,2,1,3084,1
9600,1,0.0532,1,10,1,140000,1,GOOD,3,11.9,0,0,14,0,7946,0.129,1,1,37978,0
6450,1,0.1899,18,8,1,49000,1,GOOD,3,27.85,0,1,6,1,6718,0.722,2,1,7721,0
1500,1,0.0759,3,3,1,105206,1,GOOD,3,19.95,6,0,10,0,1035,0.17,2,1,40073,0
14000,2,0.1399,13,1,2,50000,1,GOOD,2,19.06,0,1,19,0,13914,0.512,1,1,1506,0
7000,1,0.1099,9,0,1,69600,1,GOOD,3,11.03,0,0,6,0,5352,0.541,2,1,53003,0
9000,1,0.1449,14,10,2,72000,1,GOOD,3,15.09,1,1,8,0,735,0.039,1,1,8338,0
4000,1,0.1449,14,1,1,61800,1,GOOD,4,25.77,0,3,9,0,5472,0.36,1,1,18101,0
14725,1,0.2399,22,0,1,91752,1,GOOD,12,11.25,0,1,14,1,3492,0.291,2,1,34959,1
24000,2,0.1279,11,10,1,104000,1,GOOD,2,11.27,0,0,13,0,28312,0.574,1,1,23957,0
20350,2,0.2449,23,6,2,90000,1,BAD,3,19.79,0,0,11,1,3460,0.102,1,1,6680,1
24000,2,0.1349,12,10,1,65000,1,GOOD,3,19.63,0,0,9,0,21344,0.427,1,1,18365,0
40000,2,0.2749,29,10,1,80000,1,GOOD,8,24.3,0,0,19,0,20242,0.658,2,1,16907,0
12000,1,0.0899,6,8,1,56000,1,GOOD,3,29.28,1,0,14,3,9139,0.396,2,1,3555,3
18400,1,0.1349,12,3,2,50000,1,BAD,3,16.58,0,0,7,0,5548,0.295,2,1,4803,0
3975,1,0.1399,13,10,1,60000,1,GOOD,3,24.74,0,0,7,0,34745,0.993,2,1,46852,0
30000,1,0.1099,9,8,1,186000,1,GOOD,3,8.87,0,0,9,0,68377,0.653,1,1,47128,0
8000,1,0.1279,11,10,1,30000,1,BAD,3,23.06,0,1,9,0,8220,0.311,2,1,2706,0
10000,1,0.1279,11,6,3,77000,1,GOOD,3,3.18,0,0,6,0,7574,0.479,1,1,1262,0
13550,1,0.1559,15,10,2,54887,1,GOOD,3,18.63,0,0,14,0,20044,0.474,1,1,13775,0
27600,1,0.1399,13,5,2,80000,1,GOOD,3,19.22,0,0,12,0,23544,0.816,2,1,3794,0
10000,1,0.1399,13,10,1,135000,1,BAD,3,7.16,0,0,9,0,9919,0.514,1,1,31656,0
7000,1,0.1399,13,6,2,38500,1,GOOD,3,11.66,0,2,8,1,6245,0.383,2,1,1898,1
15000,1,0.0899,6,10,1,80000,1,BAD,2,22.49,0,0,8,0,32295,0.887,2,1,17180,0
8000,1,0.1449,14,8,1,58000,2,GOOD,2,29.75,1,0,14,1,2985,0.36,2,1,13546,1
28000,2,0.2569,26,6,1,75000,1,GOOD,6,3.7,0,1,4,1,7413,0.662,2,1,85948,1
35000,2,0.2499,24,5,1,120000,1,GOOD,3,20.17,0,1,20,1,10027,0.473,1,1,11426,1
5000,1,0.1699,16,0.5,1,44000,1,GOOD,4,28.86,0,1,13,0,13598,0.477,2,1,15507,0
10000,2,0.1559,15,10,2,36000,1,BAD,3,16.18,0,1,12,0,14618,0.237,1,1,1623,0
6000,1,0.2399,22,0,2,20040,1,BAD,12,15.15,2,1,8,0,814,0.068,2,1,1441,0
12000,2,0.2699,28,4,1,115000,1,BAD,3,19.12,0,0,19,1,8821,0.346,2,1,21194,1
4800,1,0.1399,13,9,2,42000,2,BAD,12,25.66,1,0,17,0,16726,0.615,2,1,1377,0
11325,2,0.2749,29,3,1,27000,1,GOOD,2,18.22,2,2,14,0,3393,0.162,2,1,4321,0
5000,1,0.1349,12,10,1,43000,1,GOOD,12,32.35,1,0,7,0,17731,0.81,1,1,12451,0
2400,1,0.1099,9,10,2,102000,1,GOOD,3,9.38,0,0,5,0,4882,0.688,1,1,5919,0
11000,2,0.2888,32,6,1,91000,1,GOOD,3,22.08,0,3,10,1,10900,0.712,1,1,5605,1
10000,2,0.1559,15,7,1,62000,1,GOOD,3,14.65,2,4,13,0,20742,0.71,1,1,27509,0
21000,1,0.0859,5,8,2,124000,1,GOOD,3,16.54,0,1,9,0,8574,0.263,2,1,5226,0
9000,1,0.1899,18,7,2,44000,2,GOOD,3,20.1,0,1,13,0,9562,0.736,2,1,3257,0
19000,2,0.1699,16,10,2,65000,1,GOOD,3,26.06,0,0,11,1,1581,0.106,1,1,4821,0
8000,1,0.1449,14,10,3,117000,1,GOOD,3,10.49,0,4,22,1,38292,0.566,2,1,16835,1
8000,1,0.1449,14,4,2,28000,1,GOOD,3,16.8,0,0,10,0,1927,0.241,1,1,847,0
12750,2,0.2699,28,1,2,37500,1,BAD,3,9.47,0,0,9,0,16052,0.666,2,1,23363,0
26075,2,0.1899,18,9,1,58000,1,GOOD,3,15.52,0,1,8,0,16477,0.509,1,1,17691,0
20000,2,0.1799,17,10,1,100000,1,BAD,4,10.42,1,1,8,1,7652,0.559,1,1,24178,0
6000,1,0.0799,4,10,3,57000,1,GOOD,2,3.66,0,0,5,0,7802,0.239,2,1,4843,0
7200,1,0.1399,13,0,1,47400,2,GOOD,4,14.25,0,1,9,1,1553,0.157,1,1,19823,1
10850,1,0.2449,23,10,3,70000,1,BAD,4,16.22,0,2,11,1,6227,0.523,2,1,16958,0
25000,1,0.1349,12,10,1,105000,1,GOOD,4,12.71,1,0,17,1,19305,0.363,1,1,2874,1
21000,2,0.1699,16,10,2,80000,2,BAD,4,16.38,1,1,9,0,7185,0.397,1,1,4592,0
7000,1,0.1049,8,7,2,67200,1,GOOD,4,14.04,0,1,14,0,7098,0.326,2,1,1397,0
20000,2,0.2499,24,2,2,188000,1,BAD,1,30.66,1,0,25,0,82844,0.754,1,1,12393,0
12000,2,0.1999,19,10,3,48760,1,GOOD,2,21.95,1,1,14,0,15043,0.41,1,1,2569,0
15000,2,0.1449,14,2,2,80000,1,BAD,2,13.46,0,1,9,0,10543,0.602,1,1,4441,0
16000,1,0.0859,5,10,1,62500,2,BAD,3,14.59,0,0,9,0,4773,0.672,2,1,24230,0
20000,2,0.1699,16,9,1,78000,1,BAD,3,28.83,0,0,11,0,10569,0.641,1,1,22144,0
12000,1,0.0699,2,2,2,45000,1,GOOD,2,14.21,0,1,13,0,8279,0.427,2,1,735,0
12000,1,0.1279,11,3,2,50000,1,GOOD,3,12.36,0,0,15,0,12236,0.294,2,1,970,0
13500,2,0.1449,14,0.5,2,50000,1,GOOD,3,26.72,0,0,12,0,11545,0.552,1,1,25961,0
2800,1,0.1349,12,0,2,10188,1,BAD,3,31.33,0,0,6,0,2340,0.478,2,1,742,0
20000,1,0.1099,9,2,1,120000,1,GOOD,3,10.8,0,2,8,0,1628,0.116,1,1,29605,0
2850,1,0.1699,16,6,1,50000,2,GOOD,3,31.81,0,1,6,0,28934,0.981,2,1,64170,0
21700,2,0.2699,28,7,1,74500,1,GOOD,3,18.86,0,0,16,0,4241,0.287,2,1,15682,0
3600,1,0.1449,14,10,1,85000,1,GOOD,12,8.88,4,1,8,0,14570,0.536,1,1,51430,0
10000,1,0.1149,10,0.5,1,45000,1,GOOD,3,22.37,0,1,10,0,3320,0.213,2,1,4261,0
17700,1,0.1559,15,10,2,57000,1,GOOD,3,15.96,0,0,14,1,3472,0.133,1,1,1498,1
2500,1,0.1349,12,3,1,32000,1,GOOD,4,6.45,0,0,4,0,167,0.015,1,1,179,0
1000,1,0.1279,11,10,3,21000,1,GOOD,12,4.29,0,0,6,1,791,0.111,2,1,7752,0
12000,2,0.1399,13,6,2,231000,1,GOOD,6,4.72,1,0,6,0,8693,0,1,1,5590,0
35000,1,0.1699,16,10,2,110000,1,GOOD,2,8.42,0,1,14,1,8423,0.314,2,1,2731,1
15000,1,0.1799,17,7,2,50000,1,GOOD,3,16.03,0,0,5,0,20366,0.789,1,1,4073,0
8000,1,0.1799,17,10,1,78000,1,BAD,3,6.12,0,1,5,0,4318,0.644,1,1,28021,0
12000,1,0.1099,9,1,2,85000,1,GOOD,12,2.37,0,0,4,3,3847,0.513,1,1,962,3
18000,2,0.2149,20,8,1,67000,1,BAD,3,27.71,0,0,6,0,20621,0.775,1,1,14563,0
33100,1,0.2149,20,0.5,1,195000,1,GOOD,3,9.44,0,0,14,0,27590,0.59,1,1,25807,0
35000,2,0.2749,29,3,2,90000,1,BAD,2,4.73,1,2,12,1,14377,0.395,1,1,1198,1
4575,1,0.1099,9,10,1,83000,1,GOOD,12,16.04,0,1,8,0,45231,0.88,2,1,14211,0
4800,1,0.0949,7,10,2,36000,1,GOOD,3,11.23,0,0,5,1,4676,0.229,2,1,1376,1
12800,2,0.0859,5,0.5,1,40000,1,GOOD,2,9.39,0,0,8,0,7952,0.087,2,1,18900,0
