loan_amnt,term,int_rate,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,initial_list_status,application_type,avg_cur_bal,pub_rec_bankruptcies
25075,2,0.1499,14,10,1,64000,2,GOOD,12,10.78,0,1,23,0,8922,0.092,1,1,7717,0
3500,1,0.0799,5,8,1,145000,1,GOOD,3,18.08,7,0,8,0,3214,0.312,1,1,48055,0
12000,1,0.1499,14,10,1,68000,1,BAD,3,8.35,0,1,8,0,5206,0.853,2,1,34137,0
20000,1,0.1399,13,10,2,72000,1,GOOD,2,6.13,0,0,14,0,19938,0.367,2,1,1534,0
12000,2,0.1274,11,3,1,122496,2,GOOD,12,26.72,1,0,15,0,43219,0.155,1,1,23445,0
28200,2,0.2869,26,7,1,75000,1,BAD,3,15.04,0,1,13,0,5654,0.321,2,1,19303,0
15475,1,0.2474,23,10,2,43999,1,GOOD,3,27.96,0,4,26,1,9382,0.25,2,1,3575,1
1000,1,0.1144,9,3,1,69000,1,GOOD,12,16.21,0,0,10,0,8625,0.415,1,1,10396,0
3000,1,0.1699,16,0,2,43000,1,GOOD,6,2.11,0,3,9,0,1291,0.047,2,1,143,0
19775,1,0.1699,16,10,1,43000,1,GOOD,12,18.14,0,0,10,0,5543,0.235,1,1,10337,0
7000,1,0.1274,11,10,1,30000,1,GOOD,3,6.08,0,1,7,0,1031,0.043,1,1,11847,0
3500,1,0.1049,7,10,2,55000,2,GOOD,3,16.95,0,0,12,1,13416,0.545,1,1,11930,1
20000,1,0.1144,9,10,2,125000,2,BAD,3,16.65,0,1,16,1,28164,0.5,1,1,2688,1
15000,1,0.1799,17,6,1,55000,2,GOOD,3,16.95,1,0,16,0,11509,0.271,1,1,6406,0
6400,1,0.1139,8,3,1,100000,1,GOOD,2,9.38,1,3,18,0,10513,0.309,1,1,17408,0
19350,2,0.2274,21,10,2,44000,2,GOOD,3,12.85,0,0,7,1,7844,0.441,1,1,3674,1
6200,1,0.1144,9,10,1,146500,2,GOOD,3,22.67,0,1,15,0,16569,0.227,2,1,25666,0
6500,1,0.1899,18,0,2,27000,1,GOOD,3,14.89,0,0,3,1,6487,0.574,2,1,4668,0
25000,2,0.2274,21,10,1,200000,1,GOOD,3,15.26,0,3,22,0,70637,0.677,1,1,14895,0
8000,1,0.1274,11,5,2,41000,2,GOOD,3,25.18,0,1,27,0,3370,0.241,1,1,2748,0
35000,2,0.2149,20,10,1,67000,1,GOOD,3,42.29,0,0,18,1,38233,0.968,1,2,23577,0
1500,1,0.1499,14,2,2,46000,1,GOOD,12,24.76,0,1,12,0,16974,0.693,1,1,6881,0
5000,1,0.1349,12,10,1,65000,1,GOOD,3,34.12,0,0,16,1,12361,0.492,1,1,3647,1
15000,1,0.1274,11,7,1,68000,1,GOOD,3,13.69,2,0,10,0,19557,0.65,1,1,16461,0
17000,1,0.0532,1,6,3,85000,2,GOOD,3,12.1,0,0,13,0,20002,0.051,1,1,21751,0
10000,1,0.1349,12,5,3,74000,2,GOOD,3,10.1,0,1,16,0,13864,0.555,2,1,24374,0
35000,1,0.1999,19,10,1,143000,1,GOOD,3,14.73,0,0,14,5,47769,0.71,1,1,15278,0
7000,1,0.1139,8,6,1,154000,2,GOOD,3,28.16,0,0,10,0,74960,0.813,2,1,58798,0
9125,1,0.1699,16,5,2,46080,1,GOOD,3,23.46,0,0,11,0,5441,0.358,1,1,3915,0
3000,1,0.1349,12,0,3,28000,1,BAD,12,13.67,0,0,4,0,2590,0.529,2,1,1758,0
5000,1,0.0824,6,0.5,1,130000,1,BAD,12,16.12,2,0,13,0,27010,0.818,1,1,23764,0
3200,1,0.1699,16,2,2,67000,1,GOOD,3,21.42,0,2,10,0,3602,0.106,2,1,5069,0
4000,1,0.0749,4,5,1,110000,1,GOOD,4,15.3,1,1,14,0,0,0,1,1,45066,0
9000,1,0.1499,14,10,1,50000,1,BAD,4,12.99,0,0,11,0,16754,0.824,1,1,13112,0
17100,1,0.2399,22,3,1,45000,1,GOOD,3,23.17,0,2,25,0,22665,0.921,2,1,10706,0
25000,1,0.1274,11,1,2,60000,2,BAD,3,15.66,0,0,8,0,13386,0.527,1,1,2912,0
3000,1,0.1149,10,0,2,18000,1,GOOD,12,41.8,2,0,12,0,8462,0.348,1,2,956,0
25000,2,0.1799,17,7,1,110000,1,GOOD,3,22.59,0,1,9,0,6422,0.549,1,1,51029,0
7500,1,0.1699,16,10,1,55000,1,GOOD,3,29.3,0,0,13,1,3433,0.307,1,1,7400,1
7200,1,0.1499,14,10,1,54000,1,GOOD,4,15.89,0,0,19,1,8009,0.181,1,1,1083,1
18000,1,0.1049,7,7,1,90000,2,GOOD,3,32.2,0,0,7,1,15114,0.63,1,1,19145,0
12800,1,0.1049,7,10,1,100000,1,BAD,6,15.64,2,0,19,2,10390,0.187,1,1,10588,0
30000,2,0.2549,24,4,1,82000,1,GOOD,4,11.05,1,2,8,0,10197,0.698,1,1,28972,0
10000,1,0.1999,19,3,2,103000,1,GOOD,2,21.74,0,2,12,0,23879,0.497,2,1,6885,0
15000,1,0.0532,1,10,1,80000,1,GOOD,3,3.36,0,2,13,1,7428,0.138,1,1,37537,1
4000,1,0.1499,14,10,1,35000,1,GOOD,3,25.03,0,1,23,0,29669,0.356,1,1,3789,0
2800,1,0.1274,11,3,2,34700,1,GOOD,12,17.61,0,0,6,0,9080,0.908,1,1,22169,0
24325,1,0.1599,15,10,3,75000,2,BAD,3,11.97,1,1,10,0,5135,0.685,1,1,10045,0
5000,1,0.2149,20,9,2,80000,1,GOOD,3,9.13,0,0,16,0,11333,0.292,1,1,1257,0
6400,1,0.1699,16,2,2,65000,1,GOOD,4,11.13,0,1,4,0,12831,0.705,1,1,9326,0
1200,1,0.1349,12,7,1,39000,1,GOOD,3,25.29,0,1,9,0,1880,0.057,2,1,10735,0
35000,1,0.1139,8,3,1,150000,1,GOOD,3,27.35,1,2,24,0,39048,0.514,1,1,23011,0
4000,1,0.1999,19,10,2,51000,1,GOOD,3,24.61,0,2,14,1,8780,0.623,1,1,1715,1
23500,2,0.1799,17,2,2,47000,2,GOOD,3,19.71,0,1,14,0,26508,0.457,1,1,2570,0
10000,1,0.1399,13,5,3,45000,1,GOOD,8,26.21,0,1,8,0,7391,0.432,1,1,4455,0
7000,1,0.1799,17,3,2,45000,1,GOOD,2,21.15,0,0,8,0,2550,0.277,1,1,4720,0
7000,1,0.1049,7,0,3,40000,2,GOOD,4,14.37,0,0,4,0,5539,0.118,1,1,3190,0
2000,1,0.1149,10,1,2,60000,1,BAD,2,9.4,1,1,14,0,7497,0.234,1,1,3344,0
17025,1,0.1274,11,2,1,48000,2,GOOD,3,26.68,1,0,15,0,10516,0.153,1,1,12953,0
7625,1,0.1599,15,10,3,40000,1,GOOD,3,23.37,0,1,9,1,5056,0.312,1,1,2578,0
2000,1,0.1349,12,10,3,66000,1,GOOD,12,12.49,0,2,5,0,1603,0.272,1,1,1736,0
8000,1,0.2949,27,1,2,120000,1,GOOD,6,7.41,2,1,6,0,14,0.009,2,1,3786,0
6000,1,0.0532,1,10,1,135000,2,GOOD,4,1.16,0,1,6,1,4224,0.196,2,1,42351,1
2000,1,0.1149,10,0,2,31464,1,GOOD,8,8.77,0,0,3,0,4972,0.691,1,1,2486,0
16000,2,0.1899,18,4,2,115000,1,GOOD,3,22.47,0,0,11,0,23821,0.553,1,1,7727,0
12000,1,0.0749,4,3,3,75000,1,GOOD,2,17.87,0,0,10,0,15858,0.556,1,1,9663,0
25000,2,0.1274,11,2,3,200000,1,GOOD,3,21.59,0,2,10,0,4827,0.075,1,1,14780,0
4200,1,0.1149,10,4,2,80000,1,GOOD,2,20.12,0,1,12,0,19386,0.898,1,1,4326,0
